idea_id,stage1_problem,stage1_as_is,stage1_benefits,stage1_operations,stage1_total,stage1_average,stage2_strategic,stage2_feasibility,stage2_differentiation,stage2_evidence,stage2_total,total_score,break_even_months,intilaka_eligible,qualification_tier
0584fc17-182b-43d3-a93e-61ce1091f9aa,0,0,0,0,0,0,0,0,0,0,0,0,,,
05d6b327-08b4-445c-b8b4-6917669fef7c,0,0,0,0,0,0,0,0,0,0,0,0,,,
06744c74-9f04-4e5e-b47c-fae7e85ea44a,0,0,0,0,0,0,0,0,0,0,0,0,,,
09808865-1509-483e-8a28-8f58012aa041,0,0,0,0,0,0,0,0,0,0,0,0,,,
0ba1057f-5e6d-4e8f-bd92-b45cf81cd636,0,0,0,0,0,0,0,0,0,0,0,0,,,
11111111-1111-1111-1111-111111111111,10.0,9.5,10.0,10.0,39.5,9.9,5.0,4.7,4.5,5.0,19.2,58.7,3,true,exceptional
131e5bd8-d0ef-412c-bdf7-30651bbf4fa2,0,0,0,0,0,0,0,0,0,0,0,0,,,
1b03a0db-662c-4d4e-8175-ed019f6a3978,0,0,0,0,0,0,0,0,0,0,0,0,,,
1d64f85d-5e7b-49fe-89b1-7b40ea2a90e7,0,0,0,0,0,0,0,0,0,0,0,0,,,
1d6719f0-7036-4740-9a0c-9433ca18a001,0,0,0,0,0,0,0,0,0,0,0,0,,,
22222222-2222-2222-2222-222222222222,8.5,7.5,8.5,8.5,33.0,8.3,4.8,4.3,4.5,4.0,17.6,50.6,9,true,qualified
238f709f-cdf1-4aea-b3f3-302f5ec061d6,0,0,0,0,0,0,0,0,0,0,0,0,,,
279cda08-4c45-4481-89d4-431d1aaa0ed9,0,0,0,0,0,0,0,0,0,0,0,0,,,
2e049f89-abcb-400b-91e5-66b114b3a6e6,0,0,0,0,0,0,0,0,0,0,0,0,,,
2e388a6e-ca79-49ea-9424-cb0e173760f2,0,0,0,0,0,0,0,0,0,0,0,0,,,
33333333-3333-3333-3333-333333333333,8.0,7.5,8.0,7.5,31.0,7.8,4.5,3.8,4.5,3.0,15.8,46.8,11,true,qualified
3561d736-8be8-4e31-b3f0-a7e05e28d853,0,0,0,0,0,0,0,0,0,0,0,0,,,
3a39be32-c847-4582-88e8-b390a2b5537e,0,0,0,0,0,0,0,0,0,0,0,0,,,
3dd16b3e-7a64-4231-80a5-6c29e97af096,0,0,0,0,0,0,0,0,0,0,0,0,,,
486b8048-a7e0-486c-9837-06349237158a,0,0,0,0,0,0,0,0,0,0,0,0,,,
4c231f2a-55b8-4f65-bd79-9ec0e4fa1a2e,0,0,0,0,0,0,0,0,0,0,0,0,,,
52b3e32d-dd58-4bad-9828-3cf5df24abaa,0,0,0,0,0,0,0,0,0,0,0,0,,,
53ed4dda-5f1d-4541-a9fb-804458bccf41,0,0,0,0,0,0,0,0,0,0,0,0,,,
56432c17-4715-4c6f-8cf8-064920b60197,0,0,0,0,0,0,0,0,0,0,0,0,,,
57bfbd75-754f-4813-b8ec-a69f5ec43cfe,0,0,0,0,0,0,0,0,0,0,0,0,,,
6268d96e-8deb-40d2-aa7e-a6b3871ce95e,0,0,0,0,0,0,0,0,0,0,0,0,,,
67c57378-6695-495d-96bb-0efe20e194b6,0,0,0,0,0,0,0,0,0,0,0,0,,,
6fb5a41d-4f39-467d-8dcc-8e7dbd69146e,0,0,0,0,0,0,0,0,0,0,0,0,,,
777a209b-b495-44cc-ab5b-1d30a5b23911,0,0,0,0,0,0,0,0,0,0,0,0,,,
7bd5f537-017e-4393-a096-632aaa203377,0,0,0,0,0,0,0,0,0,0,0,0,,,
7dd6acab-842e-468a-a77d-53e2699d9799,0,0,0,0,0,0,0,0,0,0,0,0,,,
80b5ff5f-1849-4ff4-a63a-d79d813570bd,0,0,0,0,0,0,0,0,0,0,0,0,,,
81d49811-731b-41c7-9d61-43df282e3663,0,0,0,0,0,0,0,0,0,0,0,0,,,
828b9be7-f668-47c3-86d6-fda47c21022f,0,0,0,0,0,0,0,0,0,0,0,0,,,
835f6af7-6a31-4f54-894a-a61b20f34c7a,0,0,0,0,0,0,0,0,0,0,0,0,,,
8375ca09-6210-43d8-a9e3-dd1b88176404,0,0,0,0,0,0,0,0,0,0,0,0,,,
849ed4db-9e13-4f4e-8dfa-cfae7c6d9e61,0,0,0,0,0,0,0,0,0,0,0,0,,,
90481a38-b957-4c92-acd2-a4bf7dccd572,0,0,0,0,0,0,0,0,0,0,0,0,,,
92a9043c-e97a-40f8-bc49-8d68c578726f,0,0,0,0,0,0,0,0,0,0,0,0,,,
a05c6a93-5917-4179-8654-6ba789d144dc,0,0,0,0,0,0,0,0,0,0,0,0,,,
a0b93bd1-d477-4c06-bd3c-cc7ce247136c,0,0,0,0,0,0,0,0,0,0,0,0,,,
aeba9b3d-1168-4c24-8694-2eb854f95d87,0,0,0,0,0,0,0,0,0,0,0,0,,,
b0940c07-f622-4ff2-9c0b-98401278ac1e,0,0,0,0,0,0,0,0,0,0,0,0,,,
bcab1e3f-262c-4012-896a-d8a4981089b8,0,0,0,0,0,0,0,0,0,0,0,0,,,
c038421d-6db7-4c82-8c42-e5ea2e7e15e3,0,0,0,0,0,0,0,0,0,0,0,0,,,
c6429fcb-4960-4afd-9274-903ca3eb7470,0,0,0,0,0,0,0,0,0,0,0,0,,,
c696d37f-d08d-48f2-a513-29fe426c087f,0,0,0,0,0,0,0,0,0,0,0,0,,,
c9832cdc-ff76-480b-abf7-34340f2da3cc,0,0,0,0,0,0,0,0,0,0,0,0,,,
c9e5b2a3-0f07-4447-88e8-d90b1deb8892,0,0,0,0,0,0,0,0,0,0,0,0,,,
cc2f74b0-e9a3-4182-91c5-89e66d355d5e,0,0,0,0,0,0,0,0,0,0,0,0,,,
cce7dc3c-986b-47a8-8922-6c8bae1996d7,0,0,0,0,0,0,0,0,0,0,0,0,,,
d6f50608-7ace-4049-9b4a-92302e7cf28f,0,0,0,0,0,0,0,0,0,0,0,0,,,
daeb7d70-b2d7-4a9a-a007-ab97d9dc37c6,0,0,0,0,0,0,0,0,0,0,0,0,,,
de011c3a-4b00-4dc8-8fd8-032886039222,0,0,0,0,0,0,0,0,0,0,0,0,,,
df9cae5e-6578-437d-8c42-e2933ae0ad67,0,0,0,0,0,0,0,0,0,0,0,0,,,
e233135f-3f71-40e0-8494-0f165816ce86,0,0,0,0,0,0,0,0,0,0,0,0,,,
e4e8b7cc-219f-4bb4-84a7-9a50f248f3ad,0,0,0,0,0,0,0,0,0,0,0,0,,,
e5c2f3b6-275c-40d7-9c51-cbb283d34150,0,0,0,0,0,0,0,0,0,0,0,0,,,
e7724a61-7221-4eab-8c20-04e7de2bf887,0,0,0,0,0,0,0,0,0,0,0,0,,,
e9afef05-c6dd-49aa-af2a-2017b5dd5c0a,0,0,0,0,0,0,0,0,0,0,0,0,,,
ef51ef4e-3a4c-4446-bf73-29e3bf182796,0,0,0,0,0,0,0,0,0,0,0,0,,,
ef5b1a9f-2624-4550-97a9-350499ba3c95,0,0,0,0,0,0,0,0,0,0,0,0,,,
f1514dd4-a3a3-495c-adb5-91523dab72a8,0,0,0,0,0,0,0,0,0,0,0,0,,,
f35bed2d-59a9-428a-bba7-8ccfee6209d1,0,0,0,0,0,0,0,0,0,0,0,0,,,
fc13dc89-e995-4cb0-b85c-7150da13ed9f,0,0,0,0,0,0,0,0,0,0,0,0,,,